dates,ffr_surprise,nfp_surprise,EarningsToPrice
19961010,1.666666667,0,0.0533428165007112
19961011,-1.666666667,0,0.0533428165007112
19961014,0,0,0.0533428165007112
19961015,-1.666666667,0,0.0533428165007112
19961016,0,0,0.0533428165007112
19961017,0,0,0.0533428165007112
19961018,-1.666666667,0,0.0533428165007112
19961021,0,0,0.0533428165007112
19961022,1.666666667,0,0.0533428165007112
19961023,0,0,0.0533428165007112
19961024,0,0,0.0533428165007112
19961025,-1.666666667,0,0.0533428165007112
19961028,1.666666667,0,0.0533428165007112
19961029,-1.666666667,0,0.0533428165007112
19961030,0,0,0.0533428165007112
19961031,0,0,0.0533428165007112
19961101,0.333333333,15,0.0526188235964987
19961104,-2.277777778,0,0.0526188235964987
19961105,-1.333333333,0,0.0526188235964987
19961106,-0.333333333,0,0.0526188235964987
19961107,-0.166666667,0,0.0526188235964987
19961108,0.444444444,0,0.0526188235964987
19961111,0,0,0.0526188235964987
19961112,0.166666667,0,0.0526188235964987
19961113,0.222222222,0,0.0526188235964987
19961114,0,0,0.0526188235964987
19961115,1,0,0.0526188235964987
19961118,-1,0,0.0526188235964987
19961119,0,0,0.0526188235964987
19961120,0,0,0.0526188235964987
19961121,0,0,0.0526188235964987
19961122,0,0,0.0526188235964987
19961125,0,0,0.0526188235964987
19961126,0,0,0.0526188235964987
19961127,1,0,0.0526188235964987
19961129,0,0,0.0526188235964987
19961202,1,0,0.0514089197602186
19961203,0,0,0.0514089197602186
19961204,0,0,0.0514089197602186
19961205,0,0,0.0514089197602186
19961206,0,-57,0.0514089197602186
19961209,-1,0,0.0514089197602186
19961210,0,0,0.0514089197602186
19961211,1,0,0.0514089197602186
19961212,0,0,0.0514089197602186
19961213,1,0,0.0514089197602186
19961216,1,0,0.0514089197602186
19961217,0,0,0.0514089197602186
19961218,0,0,0.0514089197602186
19961219,-1.166666667,0,0.0514089197602186
19961220,-1.166666667,0,0.0514089197602186
19961223,1.166666667,0,0.0514089197602186
19961224,-1.166666667,0,0.0514089197602186
19961226,0,0,0.0514089197602186
19961227,-1.166666667,0,0.0514089197602186
19961230,0,0,0.0514089197602186
19961231,1.166666667,0,0.0514089197602186
19970102,0,0,0.052108980827447
19970103,0,0,0.052108980827447
19970106,0,0,0.052108980827447
19970107,0,0,0.052108980827447
19970108,0,0,0.052108980827447
19970109,0,0,0.052108980827447
19970110,2.333333333,87,0.052108980827447
19970113,0,0,0.052108980827447
19970114,-3.5,0,0.052108980827447
19970115,0,0,0.052108980827447
19970116,1.166666667,0,0.052108980827447
19970117,-1.166666667,0,0.052108980827447
19970120,0,0,0.052108980827447
19970121,-1.166666667,0,0.052108980827447
19970122,1.166666667,0,0.052108980827447
19970123,0,0,0.052108980827447
19970124,0,0,0.052108980827447
19970127,1.166666667,0,0.052108980827447
19970128,-2.333333333,0,0.052108980827447
19970129,0,0,0.052108980827447
19970130,0,0,0.052108980827447
19970131,0,0,0.052108980827447
19970203,-1.594444444,0,0.0512037012868367
19970204,0.272222222,0,0.0512037012868367
19970205,-2.605555556,0,0.0512037012868367
19970206,0,0,0.0512037012868367
19970207,-3,76,0.0512037012868367
19970210,-1,0,0.0512037012868367
19970211,0,0,0.0512037012868367
19970212,0,0,0.0512037012868367
19970213,-1,0,0.0512037012868367
19970214,-2,0,0.0512037012868367
19970218,0,0,0.0512037012868367
19970219,0,0,0.0512037012868367
19970220,1,0,0.0512037012868367
19970221,0,0,0.0512037012868367
19970224,-1,0,0.0512037012868367
19970225,0,0,0.0512037012868367
19970226,3,0,0.0512037012868367
19970227,2,0,0.0512037012868367
19970228,1,0,0.0512037012868367
19970303,1,0,0.049771039216423
19970304,0,0,0.049771039216423
19970305,1,0,0.049771039216423
19970306,0,0,0.049771039216423
19970307,-1,116,0.049771039216423
19970310,1,0,0.049771039216423
19970311,-1,0,0.049771039216423
19970312,1,0,0.049771039216423
19970313,2,0,0.049771039216423
19970314,-2,0,0.049771039216423
19970317,3,0,0.049771039216423
19970318,0,0,0.049771039216423
19970319,2,0,0.049771039216423
19970320,2,0,0.049771039216423
19970321,1,0,0.049771039216423
19970324,0,0,0.049771039216423
19970325,4,0,0.049771039216423
19970326,0,0,0.049771039216423
19970327,2.583333333,0,0.049771039216423
19970331,0,0,0.049771039216423
19970401,1.5,0,0.0507978186225005
19970402,-1,0,0.0507978186225005
19970403,-1,0,0.0507978186225005
19970404,2,-18,0.0507978186225005
19970407,-1,0,0.0507978186225005
19970408,0,0,0.0507978186225005
19970409,1,0,0.0507978186225005
19970410,0,0,0.0507978186225005
19970411,3,0,0.0507978186225005
19970414,0,0,0.0507978186225005
19970415,-2,0,0.0507978186225005
19970416,0,0,0.0507978186225005
19970417,-1,0,0.0507978186225005
19970418,0,0,0.0507978186225005
19970421,0,0,0.0507978186225005
19970422,0,0,0.0507978186225005
19970423,0,0,0.0507978186225005
19970424,2,0,0.0507978186225005
19970425,0,0,0.0507978186225005
19970428,0,0,0.0507978186225005
19970429,-6,0,0.0507978186225005
19970430,3,0,0.0507978186225005
19970501,-1,0,0.0528102051235061
19970502,0,-56,0.0528102051235061
19970505,-1,0,0.0528102051235061
19970506,1,0,0.0528102051235061
19970507,1,0,0.0528102051235061
19970508,0,0,0.0528102051235061
19970509,-5,0,0.0528102051235061
19970512,-1,0,0.0528102051235061
19970513,3,0,0.0528102051235061
19970514,-2,0,0.0528102051235061
19970515,-1,0,0.0528102051235061
19970516,1,0,0.0528102051235061
19970519,1,0,0.0528102051235061
19970520,-9,0,0.0528102051235061
19970521,0,0,0.0528102051235061
19970522,-1.033333333,0,0.0528102051235061
19970523,0,0,0.0528102051235061
19970527,1.033333333,0,0.0528102051235061
19970528,1.033333333,0,0.0528102051235061
19970529,-1.033333333,0,0.0528102051235061
19970530,-3.1,0,0.0528102051235061
19970602,1.033333333,0,0.0485502166632657
19970603,-2.066666667,0,0.0485502166632657
19970604,0,0,0.0485502166632657
19970605,-1.033333333,0,0.0485502166632657
19970606,-1.033333333,-87,0.0485502166632657
19970609,1.033333333,0,0.0485502166632657
19970610,0,0,0.0485502166632657
19970611,0,0,0.0485502166632657
19970612,-4.133333333,0,0.0485502166632657
19970613,-2.066666667,0,0.0485502166632657
19970616,1.033333333,0,0.0485502166632657
19970617,0,0,0.0485502166632657
19970618,0,0,0.0485502166632657
19970619,0,0,0.0485502166632657
19970620,0,0,0.0485502166632657
19970623,0,0,0.0485502166632657
19970624,0,0,0.0485502166632657
19970625,0,0,0.0485502166632657
19970626,0,0,0.0485502166632657
19970627,-1.033333333,0,0.0485502166632657
19970630,1.033333333,0,0.0485502166632657
19970701,-2.548888889,0,0.0462746351093816
19970702,-1.687777778,0,0.0462746351093816
19970703,0,7,0.0462746351093816
19970707,0,0,0.0462746351093816
19970708,0,0,0.0462746351093816
19970709,0,0,0.0462746351093816
19970710,0,0,0.0462746351093816
19970711,0,0,0.0462746351093816
19970714,0,0,0.0462746351093816
19970715,0,0,0.0462746351093816
